frame_nmr,car_id,car_bbox,license_plate_bbox,license_plate_bbox_score,license_number,license_number_score,violation,confirmed
56,5.0,[1245.7583228970932 631.2687850089176 1855.3833547915258 1010.5966612254949],[1593.39697265625 793.7840576171875 1716.685546875 840.4820556640625],0.7559919953346252,DIETT,0.0022650866568387526
58,5.0,[1236.611700533596 632.1510002977867 1826.7271743131196 999.5614347882989],[1571.252197265625 788.3684692382812 1691.343017578125 830.7291870117188],0.7422717809677124,I603TOE,0.21664665224434665
70,5.0,[1201.6746970490221 636.7568307178412 1673.49763567423 945.5208637666967],[1467.3592529296875 765.6893920898438 1563.2633056640625 804.6967163085938],0.7328258752822876,IB1603,0.5996314786031091
71,5.0,[1199.766783715993 638.0750272473588 1664.2029673790475 943.0748216832344],[1458.95751953125 763.9727783203125 1557.53955078125 803.7024536132812],0.7124149203300476,I693TOE,0.14228382057314587
84,5.0,[1171.5647093690864 656.0690606204487 1555.7752763499916 917.5518140633853],[1381.35595703125 760.9339599609375 1462.072021484375 797.1500244140625],0.6493255496025085,I692IE5,0.12542553258012676
86,5.0,[1167.8128554830266 657.534819301384 1542.289637352858 913.874302922],[1371.7283935546875 760.0182495117188 1455.850341796875 794.5369262695312],0.6626604199409485,I602FE,0.02614248473290382
87,5.0,[1163.9900803595135 657.4216763641941 1533.8526527546971 910.9295380834417],[1365.48486328125 760.508056640625 1448.14306640625 796.3502197265625],0.6698342561721802,J60190E,0.23043143130046914
275,107.0,[235.20670955308998 666.5314223514578 684.5165901529631 926.8162976679563],[334.45074462890625 781.0162353515625 418.7314453125 814.3992919921875],0.6156325340270996,JE1E54,0.2679054798728844
287,107.0,[284.45853935291024 669.9912416136959 678.3793569628219 924.3394669788632],[364.79669189453125 776.4171752929688 463.7648620605469 816.4938354492188],0.6862826347351074,B1064RZL,0.11120958775731032
288,107.0,[289.1481634469907 670.4852008089009 681.0673490192486 924.415199538325],[371.87213134765625 775.1658325195312 469.20751953125 813.4813842773438],0.6314276456832886,TU6TWZL,0.02613777330893119
290,107.0,[297.3849692237529 671.2041274940811 686.2693877682157 924.1519431357087],[380.700439453125 774.240234375 475.4004821777344 811.497802734375],0.6965561509132385,TESTE22,0.0631698182678369
293,107.0,[307.07820614296224 670.3394337920138 690.645774254653 923.604845355906],[392.2469787597656 774.5291748046875 483.1914367675781 811.107421875],0.7074639797210693,B7E5TTZC,0.0917038244561453
297,107.0,[326.2783901606492 671.470036121349 704.4815431759685 922.4843720544786],[405.076171875 773.0271606445312 499.53277587890625 811.0794067382812],0.7016499638557434,E1054TZL,0.11442130134693011
